iter	Logloss
0	0.6231724725
50	0.008992558757
100	0.002143888429
150	0.001433651172
200	0.001198131085
250	0.001038157504
300	0.0009139612875
350	0.0007996859821
400	0.0006996778176
450	0.0006078789448
499	0.0005351195209
